Time,Throttle,Brake,Steering,Speed
0.000,0.000,0.000,0.000,0.000
0.020,0.000,0.000,0.000,0.582
0.079,0.000,0.000,0.000,1.501
0.087,0.000,0.000,0.000,1.601
0.094,0.000,0.000,0.000,1.677
0.106,0.000,0.000,0.000,1.730
0.439,0.000,0.000,0.000,0.205
0.506,0.000,0.000,0.000,0.270
0.530,0.000,0.000,0.000,0.263
0.550,0.000,0.000,0.000,0.247
0.569,0.000,0.000,0.000,0.226
0.586,0.000,0.000,0.000,0.201
0.605,0.000,0.000,0.000,0.173
0.623,0.000,0.000,0.000,0.145
0.719,0.000,0.000,0.000,0.030
0.747,0.000,0.000,0.000,0.003
0.768,0.000,0.000,0.000,0.011
0.787,0.000,0.000,0.000,0.022
0.805,0.000,0.000,0.000,0.030
0.823,0.000,0.000,0.000,0.036
0.841,0.000,0.000,0.000,0.040
0.859,0.000,0.000,0.000,0.041
0.876,0.000,0.000,0.000,0.041
0.895,0.000,0.000,0.000,0.040
0.914,0.000,0.000,0.000,0.038
0.932,0.000,0.000,0.000,0.035
0.952,0.000,0.000,0.000,0.031
0.970,0.000,0.000,0.000,0.027
0.988,0.000,0.000,0.000,0.025
1.005,0.000,0.000,0.000,0.020
1.023,0.000,0.000,0.000,0.016
1.041,0.000,0.000,0.000,0.012
1.061,0.000,0.000,0.000,0.008
1.078,0.000,0.000,0.000,0.007
1.096,0.000,0.000,0.000,0.003
1.140,0.000,0.000,0.000,0.001
1.162,0.000,0.000,0.000,0.004
1.181,0.000,0.000,0.000,0.005
1.199,0.000,0.000,0.000,0.005
1.224,0.000,0.000,0.000,0.006
1.246,0.000,0.000,0.000,0.006
1.264,0.000,0.000,0.000,0.006
1.420,0.000,0.000,0.000,0.002
1.636,0.000,0.000,0.000,0.001
1.668,0.000,0.000,0.000,0.001
1.684,0.000,0.000,0.000,0.001
1.697,0.000,0.000,0.000,0.001
1.708,0.000,0.000,0.000,0.001
1.719,0.000,0.000,0.000,0.001
1.730,0.000,0.000,0.000,0.001
1.740,0.000,0.000,0.000,0.000
1.751,0.000,0.000,0.000,0.000
1.762,0.000,0.000,0.000,0.000
1.774,0.000,0.000,0.000,0.000
1.785,0.000,0.000,0.000,0.000
1.796,0.000,0.000,0.000,0.000
1.807,0.000,0.000,0.000,0.000
1.817,0.000,0.000,0.000,0.000
1.834,0.000,0.000,0.000,0.000
1.847,0.000,0.000,0.000,0.000
1.860,0.000,0.000,0.000,0.000
1.872,0.000,0.000,0.000,0.000
1.885,0.000,0.000,0.000,0.000
1.900,0.000,0.000,0.000,0.000
1.917,0.000,0.000,0.000,0.000
1.934,0.000,0.000,0.000,0.000
1.950,0.000,0.000,0.000,0.000
1.963,0.000,0.000,0.000,0.000
1.977,0.000,0.000,0.000,0.000
1.988,0.000,0.000,0.000,0.000
1.998,0.000,0.000,0.000,0.000
2.009,0.000,0.000,0.000,0.000
2.019,0.000,0.000,0.000,0.000
2.030,0.000,0.000,0.000,0.000
2.041,0.000,0.000,0.000,0.000
2.052,0.000,0.000,0.000,0.000
2.063,0.000,0.000,0.000,0.000
2.073,0.000,0.000,0.000,0.000
2.083,0.000,0.000,0.000,0.000
2.094,0.000,0.000,0.000,0.000
2.104,0.000,0.000,0.000,0.000
2.115,0.000,0.000,0.000,0.000
2.128,0.000,0.000,0.000,0.000
2.139,0.000,0.000,0.000,0.000
2.149,0.000,0.000,0.000,0.000
2.158,0.000,0.000,0.000,0.000
2.167,0.000,0.000,0.000,0.000
2.177,0.000,0.000,0.000,0.000
2.186,0.000,0.000,0.000,0.000
2.197,0.000,0.000,0.000,0.000
2.206,0.000,0.000,0.000,0.000
2.215,0.000,0.000,0.000,0.000
2.225,0.000,0.000,0.000,0.000
2.235,0.000,0.000,0.000,0.000
2.245,0.000,0.000,0.000,0.000
2.256,0.000,0.000,0.000,0.000
2.303,0.000,0.000,0.000,0.000
2.448,0.000,0.000,0.000,0.000
2.482,0.000,0.000,0.000,0.000
2.506,0.000,0.000,0.000,0.000
2.530,0.000,0.000,0.000,0.000
2.553,0.000,0.000,0.000,0.000
2.577,0.000,0.000,0.000,0.000
2.603,0.000,0.000,0.000,0.000
2.630,0.000,0.000,0.000,0.000
2.653,0.000,0.000,0.000,0.000
2.677,0.000,0.000,0.000,0.000
2.701,0.000,0.000,0.000,0.000
2.724,0.000,0.000,0.000,0.000
2.748,0.000,0.000,0.000,0.000
2.770,0.000,0.000,0.000,0.000
2.793,0.000,0.000,0.000,0.000
2.816,0.000,0.000,0.000,0.000
2.842,0.000,0.000,0.000,0.000
2.867,0.000,0.000,0.000,0.000
2.888,0.000,0.000,0.000,0.000
2.916,0.000,0.000,0.000,0.000
2.944,0.000,0.000,0.000,0.000
2.973,0.000,0.000,0.000,0.000
2.999,0.000,0.000,0.000,0.000
3.021,0.000,0.000,0.000,0.000
3.043,0.000,0.000,0.000,0.000
3.066,0.000,0.000,0.000,0.000
3.088,0.000,0.000,0.000,0.000
3.110,0.000,0.000,0.000,0.000
3.136,0.000,0.000,0.000,0.000
3.158,0.000,0.000,0.000,0.000
3.180,0.000,0.000,0.000,0.000
3.203,0.000,0.000,0.000,0.000
3.227,0.000,0.000,0.000,0.000
3.248,0.000,0.000,0.000,0.000
3.269,0.000,0.000,0.000,0.000
3.290,0.000,0.000,0.000,0.000
3.315,0.000,0.000,0.000,0.000
3.339,0.000,0.000,0.000,0.000
3.363,0.000,0.000,0.000,0.000
3.386,0.000,0.000,0.000,0.000
3.410,0.000,0.000,0.000,0.000
3.433,0.000,0.000,0.000,0.000
3.457,0.000,0.000,0.000,0.000
3.482,0.000,0.000,0.000,0.000
3.506,0.000,0.000,0.000,0.000
3.532,0.000,0.000,0.000,0.000
3.557,0.000,0.000,0.000,0.000
3.580,0.000,0.000,0.000,0.000
3.603,0.000,0.000,0.000,0.000
3.626,0.000,0.000,0.000,0.000
3.650,0.000,0.000,0.000,0.000
3.674,0.000,0.000,0.000,0.000
3.696,0.000,0.000,0.000,0.000
3.718,0.000,0.000,0.000,0.000
3.741,0.000,0.000,0.000,0.000
3.765,0.000,0.000,0.000,0.000
3.787,0.000,0.000,0.000,0.000
3.810,0.000,0.000,0.000,0.000
3.836,0.000,0.000,0.000,0.000
3.861,0.000,0.000,0.000,0.000
3.888,0.000,0.000,0.000,0.000
3.914,0.000,0.000,0.000,0.000
3.940,0.000,0.000,0.000,0.000
3.967,0.000,0.000,0.000,0.000
3.992,0.000,0.000,0.000,0.000
4.011,0.000,0.000,0.000,0.000
4.031,0.000,0.000,0.000,0.000
4.048,0.000,0.000,0.000,0.000
4.064,0.000,0.000,0.000,0.000
4.082,0.000,0.000,0.000,0.000
4.099,0.000,0.000,0.000,0.000
4.115,0.000,0.000,0.000,0.000
4.132,0.000,0.000,0.000,0.000
4.149,0.000,0.000,0.000,0.000
4.165,0.000,0.000,0.000,0.000
4.183,0.000,0.000,0.000,0.000
4.202,0.000,0.000,0.000,0.000
4.220,0.000,0.000,0.000,0.000
4.236,0.000,0.000,0.000,0.000
4.253,0.000,0.000,0.000,0.000
4.271,0.000,0.000,0.000,0.000
4.287,0.000,0.000,0.000,0.000
4.303,0.000,0.000,0.000,0.000
4.319,0.000,0.000,0.000,0.000
4.334,0.000,0.000,0.000,0.000
4.351,0.000,0.000,0.000,0.000
4.368,0.000,0.000,0.000,0.000
4.384,0.000,0.000,0.000,0.000
4.401,0.000,0.000,0.000,0.000
4.419,0.000,0.000,0.000,0.000
4.436,0.000,0.000,0.000,0.000
