Time,Throttle,Brake,Steering,Speed
0.000,0.000,0.000,0.000,0.000
0.020,0.000,0.000,0.000,0.706
0.149,0.000,0.000,0.000,0.078
0.209,0.000,0.000,0.000,0.100
0.225,0.000,0.000,0.000,0.276
0.238,0.000,0.000,0.000,0.276
0.252,0.000,0.000,0.000,0.086
0.264,0.000,0.000,0.000,0.251
0.277,0.000,0.000,0.000,0.251
0.289,0.000,0.000,0.000,0.170
0.303,0.000,0.000,0.000,0.002
0.346,0.000,0.000,0.000,0.001
0.387,0.000,0.000,0.000,0.218
0.402,0.000,0.000,0.000,0.175
0.437,0.000,0.000,0.000,0.001
0.450,0.000,0.000,0.000,0.219
0.466,0.000,0.000,0.000,0.218
0.482,0.000,0.000,0.000,0.000
0.495,0.000,0.000,0.000,0.000
0.508,0.000,0.000,0.000,0.206
0.520,0.000,0.000,0.000,0.093
0.536,0.000,0.000,0.000,0.093
0.550,0.000,0.000,0.000,0.269
0.566,0.000,0.000,0.000,0.084
0.578,0.000,0.000,0.000,0.084
0.591,0.000,0.000,0.000,0.249
0.604,0.000,0.000,0.000,0.114
0.618,0.000,0.000,0.000,0.114
0.630,0.000,0.000,0.000,0.269
0.644,0.000,0.000,0.000,0.032
0.657,0.000,0.000,0.000,0.032
0.669,0.000,0.000,0.000,0.000
0.681,0.000,0.000,0.000,0.000
0.691,0.000,0.000,0.000,0.000
0.700,0.000,0.000,0.000,0.000
0.709,0.000,0.000,0.000,0.229
0.718,0.000,0.000,0.000,0.229
0.740,0.000,0.000,0.000,0.104
0.747,0.000,0.000,0.000,0.280
0.755,0.000,0.000,0.000,0.280
0.761,0.000,0.000,0.000,0.027
0.769,0.000,0.000,0.000,0.027
0.776,0.000,0.000,0.000,0.027
0.783,0.000,0.000,0.000,0.317
0.790,0.000,0.000,0.000,0.317
0.797,0.000,0.000,0.000,0.317
0.804,0.000,0.000,0.000,0.039
0.811,0.000,0.000,0.000,0.039
0.818,0.000,0.000,0.000,0.039
0.825,0.000,0.000,0.000,0.333
0.833,0.000,0.000,0.000,0.333
0.840,0.000,0.000,0.000,0.034
0.850,0.000,0.000,0.000,0.034
0.856,0.000,0.000,0.000,0.034
0.863,0.000,0.000,0.000,0.217
0.871,0.000,0.000,0.000,0.217
0.879,0.000,0.000,0.000,0.217
0.886,0.000,0.000,0.000,0.099
0.894,0.000,0.000,0.000,0.099
0.901,0.000,0.000,0.000,0.275
0.908,0.000,0.000,0.000,0.275
0.916,0.000,0.000,0.000,0.275
0.923,0.000,0.000,0.000,0.086
0.932,0.000,0.000,0.000,0.086
0.938,0.000,0.000,0.000,0.086
0.946,0.000,0.000,0.000,0.251
0.954,0.000,0.000,0.000,0.251
0.961,0.000,0.000,0.000,0.115
0.968,0.000,0.000,0.000,0.115
0.975,0.000,0.000,0.000,0.115
0.982,0.000,0.000,0.000,0.269
0.991,0.000,0.000,0.000,0.269
0.998,0.000,0.000,0.000,0.269
1.006,0.000,0.000,0.000,0.032
1.026,0.000,0.000,0.000,0.195
1.040,0.000,0.000,0.000,0.195
1.049,0.000,0.000,0.000,0.057
1.059,0.000,0.000,0.000,0.057
1.068,0.000,0.000,0.000,0.001
1.077,0.000,0.000,0.000,0.001
1.086,0.000,0.000,0.000,0.001
1.096,0.000,0.000,0.000,0.001
1.105,0.000,0.000,0.000,0.000
1.114,0.000,0.000,0.000,0.000
1.124,0.000,0.000,0.000,0.227
1.133,0.000,0.000,0.000,0.227
1.142,0.000,0.000,0.000,0.103
1.152,0.000,0.000,0.000,0.103
1.161,0.000,0.000,0.000,0.278
1.170,0.000,0.000,0.000,0.278
1.179,0.000,0.000,0.000,0.278
1.188,0.000,0.000,0.000,0.027
1.197,0.000,0.000,0.000,0.027
1.206,0.000,0.000,0.000,0.236
1.217,0.000,0.000,0.000,0.236
1.226,0.000,0.000,0.000,0.018
1.235,0.000,0.000,0.000,0.018
1.244,0.000,0.000,0.000,0.352
1.259,0.000,0.000,0.000,0.352
1.269,0.000,0.000,0.000,0.042
1.277,0.000,0.000,0.000,0.042
1.285,0.000,0.000,0.000,0.221
1.293,0.000,0.000,0.000,0.221
1.300,0.000,0.000,0.000,0.221
1.307,0.000,0.000,0.000,0.101
1.315,0.000,0.000,0.000,0.101
1.323,0.000,0.000,0.000,0.277
1.331,0.000,0.000,0.000,0.277
1.338,0.000,0.000,0.000,0.277
1.345,0.000,0.000,0.000,0.027
1.353,0.000,0.000,0.000,0.027
1.360,0.000,0.000,0.000,0.027
1.367,0.000,0.000,0.000,0.317
1.374,0.000,0.000,0.000,0.317
1.382,0.000,0.000,0.000,0.039
1.390,0.000,0.000,0.000,0.039
1.398,0.000,0.000,0.000,0.039
1.406,0.000,0.000,0.000,0.333
1.414,0.000,0.000,0.000,0.333
1.421,0.000,0.000,0.000,0.034
1.430,0.000,0.000,0.000,0.034
1.440,0.000,0.000,0.000,0.217
1.450,0.000,0.000,0.000,0.217
1.457,0.000,0.000,0.000,0.217
1.464,0.000,0.000,0.000,0.174
1.473,0.000,0.000,0.000,0.174
1.481,0.000,0.000,0.000,0.001
1.491,0.000,0.000,0.000,0.001
1.498,0.000,0.000,0.000,0.001
1.506,0.000,0.000,0.000,0.000
1.514,0.000,0.000,0.000,0.000
1.522,0.000,0.000,0.000,0.228
1.530,0.000,0.000,0.000,0.228
1.538,0.000,0.000,0.000,0.228
1.545,0.000,0.000,0.000,0.173
1.554,0.000,0.000,0.000,0.173
1.561,0.000,0.000,0.000,0.001
1.570,0.000,0.000,0.000,0.001
1.578,0.000,0.000,0.000,0.001
1.586,0.000,0.000,0.000,0.000
1.594,0.000,0.000,0.000,0.000
1.602,0.000,0.000,0.000,0.226
1.610,0.000,0.000,0.000,0.226
1.618,0.000,0.000,0.000,0.226
1.627,0.000,0.000,0.000,0.103
1.635,0.000,0.000,0.000,0.103
1.643,0.000,0.000,0.000,0.278
1.652,0.000,0.000,0.000,0.278
1.660,0.000,0.000,0.000,0.278
1.667,0.000,0.000,0.000,0.027
1.676,0.000,0.000,0.000,0.027
1.683,0.000,0.000,0.000,0.236
1.692,0.000,0.000,0.000,0.236
1.699,0.000,0.000,0.000,0.236
1.707,0.000,0.000,0.000,0.172
1.715,0.000,0.000,0.000,0.172
1.723,0.000,0.000,0.000,0.002
1.732,0.000,0.000,0.000,0.002
1.740,0.000,0.000,0.000,0.002
1.748,0.000,0.000,0.000,0.193
1.756,0.000,0.000,0.000,0.193
1.764,0.000,0.000,0.000,0.174
1.772,0.000,0.000,0.000,0.174
1.780,0.000,0.000,0.000,0.174
1.787,0.000,0.000,0.000,0.013
1.796,0.000,0.000,0.000,0.013
1.803,0.000,0.000,0.000,0.001
1.811,0.000,0.000,0.000,0.001
1.819,0.000,0.000,0.000,0.001
1.827,0.000,0.000,0.000,0.204
1.835,0.000,0.000,0.000,0.204
1.843,0.000,0.000,0.000,0.052
1.851,0.000,0.000,0.000,0.052
1.859,0.000,0.000,0.000,0.052
1.866,0.000,0.000,0.000,0.000
1.875,0.000,0.000,0.000,0.000
1.882,0.000,0.000,0.000,0.001
1.890,0.000,0.000,0.000,0.001
1.897,0.000,0.000,0.000,0.001
1.904,0.000,0.000,0.000,0.001
1.912,0.000,0.000,0.000,0.001
1.919,0.000,0.000,0.000,0.001
1.926,0.000,0.000,0.000,0.211
1.934,0.000,0.000,0.000,0.211
1.941,0.000,0.000,0.000,0.176
1.949,0.000,0.000,0.000,0.176
1.956,0.000,0.000,0.000,0.176
1.963,0.000,0.000,0.000,0.003
1.970,0.000,0.000,0.000,0.003
1.977,0.000,0.000,0.000,0.003
1.984,0.000,0.000,0.000,0.000
1.993,0.000,0.000,0.000,0.000
1.999,0.000,0.000,0.000,0.000
2.006,0.000,0.000,0.000,0.001
2.014,0.000,0.000,0.000,0.001
2.022,0.000,0.000,0.000,0.325
2.031,0.000,0.000,0.000,0.325
2.038,0.000,0.000,0.000,0.325
2.045,0.000,0.000,0.000,0.094
2.054,0.000,0.000,0.000,0.094
2.062,0.000,0.000,0.000,0.000
2.070,0.000,0.000,0.000,0.000
2.077,0.000,0.000,0.000,0.000
2.087,0.000,0.000,0.000,0.001
2.096,0.000,0.000,0.000,0.001
2.103,0.000,0.000,0.000,0.228
2.111,0.000,0.000,0.000,0.228
2.118,0.000,0.000,0.000,0.228
2.126,0.000,0.000,0.000,0.079
2.134,0.000,0.000,0.000,0.079
2.143,0.000,0.000,0.000,0.000
2.152,0.000,0.000,0.000,0.000
2.162,0.000,0.000,0.000,0.001
2.170,0.000,0.000,0.000,0.001
2.178,0.000,0.000,0.000,0.001
2.185,0.000,0.000,0.000,0.234
2.193,0.000,0.000,0.000,0.234
2.200,0.000,0.000,0.000,0.215
2.208,0.000,0.000,0.000,0.215
2.215,0.000,0.000,0.000,0.215
2.223,0.000,0.000,0.000,0.001
2.231,0.000,0.000,0.000,0.001
2.238,0.000,0.000,0.000,0.001
2.246,0.000,0.000,0.000,0.203
2.254,0.000,0.000,0.000,0.203
2.262,0.000,0.000,0.000,0.092
2.270,0.000,0.000,0.000,0.092
2.277,0.000,0.000,0.000,0.092
2.283,0.000,0.000,0.000,0.308
2.291,0.000,0.000,0.000,0.308
2.298,0.000,0.000,0.000,0.308
