Time,Throttle,Brake,Steering,Speed
0.000,0.000,0.000,0.000,0.000
0.020,0.000,0.000,0.000,0.706
0.064,0.000,0.000,0.000,0.122
0.074,0.000,0.000,0.000,0.122
0.080,0.000,0.000,0.000,0.000
0.087,0.000,0.000,0.000,0.000
0.092,0.000,0.000,0.000,0.000
0.102,0.000,0.000,0.000,0.001
0.154,0.000,0.000,0.000,0.078
0.164,0.000,0.000,0.000,0.000
0.173,0.000,0.000,0.000,0.000
0.180,0.000,0.000,0.000,0.224
0.188,0.000,0.000,0.000,0.224
0.196,0.000,0.000,0.000,0.224
0.203,0.000,0.000,0.000,0.100
0.211,0.000,0.000,0.000,0.100
0.219,0.000,0.000,0.000,0.100
0.227,0.000,0.000,0.000,0.276
0.235,0.000,0.000,0.000,0.276
0.243,0.000,0.000,0.000,0.086
0.251,0.000,0.000,0.000,0.086
0.259,0.000,0.000,0.000,0.086
0.266,0.000,0.000,0.000,0.251
0.275,0.000,0.000,0.000,0.251
0.283,0.000,0.000,0.000,0.170
0.292,0.000,0.000,0.000,0.170
0.300,0.000,0.000,0.000,0.002
0.309,0.000,0.000,0.000,0.002
0.317,0.000,0.000,0.000,0.002
0.324,0.000,0.000,0.000,0.001
0.333,0.000,0.000,0.000,0.001
0.341,0.000,0.000,0.000,0.001
0.350,0.000,0.000,0.000,0.001
0.380,0.000,0.000,0.000,0.001
0.387,0.000,0.000,0.000,0.218
0.396,0.000,0.000,0.000,0.218
0.403,0.000,0.000,0.000,0.175
0.412,0.000,0.000,0.000,0.175
0.420,0.000,0.000,0.000,0.001
0.429,0.000,0.000,0.000,0.001
0.436,0.000,0.000,0.000,0.001
0.444,0.000,0.000,0.000,0.219
0.453,0.000,0.000,0.000,0.219
0.460,0.000,0.000,0.000,0.219
0.467,0.000,0.000,0.000,0.218
0.476,0.000,0.000,0.000,0.218
0.484,0.000,0.000,0.000,0.000
0.495,0.000,0.000,0.000,0.000
0.502,0.000,0.000,0.000,0.206
0.511,0.000,0.000,0.000,0.206
0.519,0.000,0.000,0.000,0.206
0.526,0.000,0.000,0.000,0.093
0.535,0.000,0.000,0.000,0.093
0.542,0.000,0.000,0.000,0.269
0.551,0.000,0.000,0.000,0.269
0.559,0.000,0.000,0.000,0.269
0.567,0.000,0.000,0.000,0.084
0.576,0.000,0.000,0.000,0.084
0.584,0.000,0.000,0.000,0.249
0.592,0.000,0.000,0.000,0.249
0.600,0.000,0.000,0.000,0.249
0.607,0.000,0.000,0.000,0.114
0.616,0.000,0.000,0.000,0.114
0.623,0.000,0.000,0.000,0.269
0.631,0.000,0.000,0.000,0.269
0.639,0.000,0.000,0.000,0.269
0.647,0.000,0.000,0.000,0.032
0.655,0.000,0.000,0.000,0.032
0.663,0.000,0.000,0.000,0.000
0.672,0.000,0.000,0.000,0.000
0.679,0.000,0.000,0.000,0.000
0.687,0.000,0.000,0.000,0.000
0.695,0.000,0.000,0.000,0.000
0.703,0.000,0.000,0.000,0.229
0.712,0.000,0.000,0.000,0.229
0.719,0.000,0.000,0.000,0.229
0.727,0.000,0.000,0.000,0.104
0.735,0.000,0.000,0.000,0.104
0.743,0.000,0.000,0.000,0.280
0.752,0.000,0.000,0.000,0.280
0.760,0.000,0.000,0.000,0.280
0.767,0.000,0.000,0.000,0.027
0.776,0.000,0.000,0.000,0.027
0.784,0.000,0.000,0.000,0.317
0.792,0.000,0.000,0.000,0.317
0.799,0.000,0.000,0.000,0.317
0.807,0.000,0.000,0.000,0.039
0.816,0.000,0.000,0.000,0.039
0.823,0.000,0.000,0.000,0.333
0.832,0.000,0.000,0.000,0.333
0.839,0.000,0.000,0.000,0.333
0.847,0.000,0.000,0.000,0.034
0.855,0.000,0.000,0.000,0.034
0.863,0.000,0.000,0.000,0.217
0.871,0.000,0.000,0.000,0.217
0.879,0.000,0.000,0.000,0.217
0.887,0.000,0.000,0.000,0.099
0.895,0.000,0.000,0.000,0.099
0.904,0.000,0.000,0.000,0.275
0.912,0.000,0.000,0.000,0.275
0.920,0.000,0.000,0.000,0.086
0.929,0.000,0.000,0.000,0.086
0.937,0.000,0.000,0.000,0.086
0.945,0.000,0.000,0.000,0.251
0.954,0.000,0.000,0.000,0.251
0.962,0.000,0.000,0.000,0.115
0.971,0.000,0.000,0.000,0.115
0.979,0.000,0.000,0.000,0.115
0.988,0.000,0.000,0.000,0.269
0.997,0.000,0.000,0.000,0.269
1.004,0.000,0.000,0.000,0.032
1.014,0.000,0.000,0.000,0.032
1.021,0.000,0.000,0.000,0.195
1.030,0.000,0.000,0.000,0.195
1.038,0.000,0.000,0.000,0.195
1.046,0.000,0.000,0.000,0.057
1.055,0.000,0.000,0.000,0.057
1.063,0.000,0.000,0.000,0.001
1.072,0.000,0.000,0.000,0.001
1.080,0.000,0.000,0.000,0.001
1.087,0.000,0.000,0.000,0.001
1.096,0.000,0.000,0.000,0.001
1.104,0.000,0.000,0.000,0.000
1.113,0.000,0.000,0.000,0.000
1.121,0.000,0.000,0.000,0.227
1.131,0.000,0.000,0.000,0.227
1.139,0.000,0.000,0.000,0.227
1.147,0.000,0.000,0.000,0.103
1.156,0.000,0.000,0.000,0.103
1.164,0.000,0.000,0.000,0.278
1.172,0.000,0.000,0.000,0.278
1.180,0.000,0.000,0.000,0.027
1.189,0.000,0.000,0.000,0.027
1.197,0.000,0.000,0.000,0.027
1.205,0.000,0.000,0.000,0.236
1.215,0.000,0.000,0.000,0.236
1.222,0.000,0.000,0.000,0.018
1.231,0.000,0.000,0.000,0.018
1.239,0.000,0.000,0.000,0.018
1.247,0.000,0.000,0.000,0.352
1.256,0.000,0.000,0.000,0.352
1.264,0.000,0.000,0.000,0.042
1.273,0.000,0.000,0.000,0.042
1.281,0.000,0.000,0.000,0.221
1.289,0.000,0.000,0.000,0.221
1.295,0.000,0.000,0.000,0.221
1.303,0.000,0.000,0.000,0.101
1.311,0.000,0.000,0.000,0.101
1.318,0.000,0.000,0.000,0.101
1.324,0.000,0.000,0.000,0.277
1.332,0.000,0.000,0.000,0.277
1.338,0.000,0.000,0.000,0.277
1.343,0.000,0.000,0.000,0.027
1.349,0.000,0.000,0.000,0.027
1.355,0.000,0.000,0.000,0.027
1.361,0.000,0.000,0.000,0.317
1.367,0.000,0.000,0.000,0.317
1.372,0.000,0.000,0.000,0.317
1.377,0.000,0.000,0.000,0.317
1.382,0.000,0.000,0.000,0.039
1.390,0.000,0.000,0.000,0.039
1.395,0.000,0.000,0.000,0.039
1.399,0.000,0.000,0.000,0.039
1.404,0.000,0.000,0.000,0.333
1.409,0.000,0.000,0.000,0.333
1.413,0.000,0.000,0.000,0.333
1.418,0.000,0.000,0.000,0.333
1.422,0.000,0.000,0.000,0.034
1.427,0.000,0.000,0.000,0.034
1.432,0.000,0.000,0.000,0.034
1.436,0.000,0.000,0.000,0.034
1.440,0.000,0.000,0.000,0.217
1.445,0.000,0.000,0.000,0.217
1.450,0.000,0.000,0.000,0.217
1.454,0.000,0.000,0.000,0.217
1.458,0.000,0.000,0.000,0.217
1.469,0.000,0.000,0.000,0.174
1.474,0.000,0.000,0.000,0.174
1.479,0.000,0.000,0.000,0.174
1.483,0.000,0.000,0.000,0.001
1.488,0.000,0.000,0.000,0.001
1.494,0.000,0.000,0.000,0.001
1.500,0.000,0.000,0.000,0.000
1.506,0.000,0.000,0.000,0.000
1.511,0.000,0.000,0.000,0.000
1.515,0.000,0.000,0.000,0.000
1.521,0.000,0.000,0.000,0.228
1.527,0.000,0.000,0.000,0.228
1.532,0.000,0.000,0.000,0.228
1.537,0.000,0.000,0.000,0.228
1.542,0.000,0.000,0.000,0.173
1.547,0.000,0.000,0.000,0.173
1.551,0.000,0.000,0.000,0.173
1.556,0.000,0.000,0.000,0.173
1.561,0.000,0.000,0.000,0.001
1.566,0.000,0.000,0.000,0.001
1.571,0.000,0.000,0.000,0.001
1.574,0.000,0.000,0.000,0.001
1.579,0.000,0.000,0.000,0.001
1.585,0.000,0.000,0.000,0.000
1.590,0.000,0.000,0.000,0.000
1.595,0.000,0.000,0.000,0.000
1.599,0.000,0.000,0.000,0.000
1.604,0.000,0.000,0.000,0.226
1.610,0.000,0.000,0.000,0.226
1.614,0.000,0.000,0.000,0.226
1.620,0.000,0.000,0.000,0.226
1.624,0.000,0.000,0.000,0.103
1.630,0.000,0.000,0.000,0.103
1.635,0.000,0.000,0.000,0.103
1.640,0.000,0.000,0.000,0.278
1.645,0.000,0.000,0.000,0.278
1.650,0.000,0.000,0.000,0.278
1.654,0.000,0.000,0.000,0.278
1.659,0.000,0.000,0.000,0.278
1.664,0.000,0.000,0.000,0.027
1.669,0.000,0.000,0.000,0.027
1.674,0.000,0.000,0.000,0.027
1.679,0.000,0.000,0.000,0.027
1.684,0.000,0.000,0.000,0.236
1.690,0.000,0.000,0.000,0.236
1.694,0.000,0.000,0.000,0.236
1.699,0.000,0.000,0.000,0.236
1.704,0.000,0.000,0.000,0.172
1.709,0.000,0.000,0.000,0.172
1.714,0.000,0.000,0.000,0.172
1.718,0.000,0.000,0.000,0.172
1.724,0.000,0.000,0.000,0.002
1.730,0.000,0.000,0.000,0.002
1.734,0.000,0.000,0.000,0.002
1.739,0.000,0.000,0.000,0.002
