Time,Throttle,Brake,Steering,Speed
0.000,0.000,0.000,0.000,0.000
0.020,0.000,0.000,0.000,0.706
0.052,0.000,0.000,0.000,1.271
0.060,0.000,0.000,0.000,1.271
0.065,0.000,0.000,0.000,0.122
0.094,0.000,0.000,0.000,0.000
0.107,0.000,0.000,0.000,0.001
0.160,0.000,0.000,0.000,0.078
0.172,0.000,0.000,0.000,0.000
0.179,0.000,0.000,0.000,0.000
0.186,0.000,0.000,0.000,0.224
0.193,0.000,0.000,0.000,0.224
0.212,0.000,0.000,0.000,0.100
0.234,0.000,0.000,0.000,0.276
0.256,0.000,0.000,0.000,0.086
0.279,0.000,0.000,0.000,0.251
0.300,0.000,0.000,0.000,0.002
0.310,0.000,0.000,0.000,0.002
0.317,0.000,0.000,0.000,0.002
0.325,0.000,0.000,0.000,0.001
0.334,0.000,0.000,0.000,0.001
0.341,0.000,0.000,0.000,0.001
0.350,0.000,0.000,0.000,0.001
0.358,0.000,0.000,0.000,0.001
0.389,0.000,0.000,0.000,0.218
0.396,0.000,0.000,0.000,0.218
0.404,0.000,0.000,0.000,0.175
0.414,0.000,0.000,0.000,0.175
0.421,0.000,0.000,0.000,0.001
0.430,0.000,0.000,0.000,0.001
0.438,0.000,0.000,0.000,0.001
0.446,0.000,0.000,0.000,0.219
0.454,0.000,0.000,0.000,0.219
0.462,0.000,0.000,0.000,0.218
0.471,0.000,0.000,0.000,0.218
0.479,0.000,0.000,0.000,0.218
0.487,0.000,0.000,0.000,0.000
0.496,0.000,0.000,0.000,0.000
0.504,0.000,0.000,0.000,0.206
0.513,0.000,0.000,0.000,0.206
0.521,0.000,0.000,0.000,0.093
0.529,0.000,0.000,0.000,0.093
0.537,0.000,0.000,0.000,0.093
0.544,0.000,0.000,0.000,0.269
0.553,0.000,0.000,0.000,0.269
0.561,0.000,0.000,0.000,0.084
0.570,0.000,0.000,0.000,0.084
0.578,0.000,0.000,0.000,0.084
0.586,0.000,0.000,0.000,0.249
0.594,0.000,0.000,0.000,0.249
0.602,0.000,0.000,0.000,0.114
0.611,0.000,0.000,0.000,0.114
0.618,0.000,0.000,0.000,0.114
0.626,0.000,0.000,0.000,0.269
0.635,0.000,0.000,0.000,0.269
0.642,0.000,0.000,0.000,0.032
0.651,0.000,0.000,0.000,0.032
0.658,0.000,0.000,0.000,0.032
0.665,0.000,0.000,0.000,0.000
0.674,0.000,0.000,0.000,0.000
0.681,0.000,0.000,0.000,0.000
0.690,0.000,0.000,0.000,0.000
0.697,0.000,0.000,0.000,0.000
0.705,0.000,0.000,0.000,0.229
0.713,0.000,0.000,0.000,0.229
0.721,0.000,0.000,0.000,0.104
0.730,0.000,0.000,0.000,0.104
0.737,0.000,0.000,0.000,0.104
0.745,0.000,0.000,0.000,0.280
0.753,0.000,0.000,0.000,0.280
0.760,0.000,0.000,0.000,0.280
0.767,0.000,0.000,0.000,0.027
0.776,0.000,0.000,0.000,0.027
0.783,0.000,0.000,0.000,0.317
0.792,0.000,0.000,0.000,0.317
0.799,0.000,0.000,0.000,0.317
0.807,0.000,0.000,0.000,0.039
0.815,0.000,0.000,0.000,0.039
0.823,0.000,0.000,0.000,0.333
0.831,0.000,0.000,0.000,0.333
0.840,0.000,0.000,0.000,0.333
0.847,0.000,0.000,0.000,0.034
0.855,0.000,0.000,0.000,0.034
0.862,0.000,0.000,0.000,0.217
0.871,0.000,0.000,0.000,0.217
0.879,0.000,0.000,0.000,0.217
0.886,0.000,0.000,0.000,0.099
0.895,0.000,0.000,0.000,0.099
0.902,0.000,0.000,0.000,0.275
0.911,0.000,0.000,0.000,0.275
0.919,0.000,0.000,0.000,0.275
0.926,0.000,0.000,0.000,0.086
0.936,0.000,0.000,0.000,0.086
0.943,0.000,0.000,0.000,0.251
0.951,0.000,0.000,0.000,0.251
0.959,0.000,0.000,0.000,0.251
0.967,0.000,0.000,0.000,0.115
0.976,0.000,0.000,0.000,0.115
0.984,0.000,0.000,0.000,0.269
0.993,0.000,0.000,0.000,0.269
1.000,0.000,0.000,0.000,0.032
1.010,0.000,0.000,0.000,0.032
1.017,0.000,0.000,0.000,0.032
1.025,0.000,0.000,0.000,0.195
1.034,0.000,0.000,0.000,0.195
1.041,0.000,0.000,0.000,0.057
1.050,0.000,0.000,0.000,0.057
1.058,0.000,0.000,0.000,0.057
1.066,0.000,0.000,0.000,0.001
1.074,0.000,0.000,0.000,0.001
1.082,0.000,0.000,0.000,0.001
1.091,0.000,0.000,0.000,0.001
1.098,0.000,0.000,0.000,0.001
1.106,0.000,0.000,0.000,0.000
1.114,0.000,0.000,0.000,0.000
1.122,0.000,0.000,0.000,0.227
1.132,0.000,0.000,0.000,0.227
1.139,0.000,0.000,0.000,0.227
1.147,0.000,0.000,0.000,0.103
1.156,0.000,0.000,0.000,0.103
1.164,0.000,0.000,0.000,0.278
1.173,0.000,0.000,0.000,0.278
1.181,0.000,0.000,0.000,0.027
1.189,0.000,0.000,0.000,0.027
1.197,0.000,0.000,0.000,0.027
1.205,0.000,0.000,0.000,0.236
1.214,0.000,0.000,0.000,0.236
1.222,0.000,0.000,0.000,0.018
1.231,0.000,0.000,0.000,0.018
1.238,0.000,0.000,0.000,0.018
1.245,0.000,0.000,0.000,0.352
1.253,0.000,0.000,0.000,0.352
1.260,0.000,0.000,0.000,0.042
1.268,0.000,0.000,0.000,0.042
1.275,0.000,0.000,0.000,0.042
1.283,0.000,0.000,0.000,0.221
1.291,0.000,0.000,0.000,0.221
1.298,0.000,0.000,0.000,0.221
1.305,0.000,0.000,0.000,0.101
1.312,0.000,0.000,0.000,0.101
1.318,0.000,0.000,0.000,0.101
1.324,0.000,0.000,0.000,0.277
1.331,0.000,0.000,0.000,0.277
1.336,0.000,0.000,0.000,0.277
1.342,0.000,0.000,0.000,0.027
1.349,0.000,0.000,0.000,0.027
1.354,0.000,0.000,0.000,0.027
1.359,0.000,0.000,0.000,0.027
1.364,0.000,0.000,0.000,0.317
1.370,0.000,0.000,0.000,0.317
1.375,0.000,0.000,0.000,0.317
1.382,0.000,0.000,0.000,0.039
1.388,0.000,0.000,0.000,0.039
1.393,0.000,0.000,0.000,0.039
1.399,0.000,0.000,0.000,0.039
1.404,0.000,0.000,0.000,0.333
1.411,0.000,0.000,0.000,0.333
1.417,0.000,0.000,0.000,0.333
1.421,0.000,0.000,0.000,0.034
1.426,0.000,0.000,0.000,0.034
1.431,0.000,0.000,0.000,0.034
1.436,0.000,0.000,0.000,0.034
1.442,0.000,0.000,0.000,0.217
1.447,0.000,0.000,0.000,0.217
1.452,0.000,0.000,0.000,0.217
1.457,0.000,0.000,0.000,0.217
1.462,0.000,0.000,0.000,0.174
1.468,0.000,0.000,0.000,0.174
1.474,0.000,0.000,0.000,0.174
1.479,0.000,0.000,0.000,0.174
1.484,0.000,0.000,0.000,0.001
1.490,0.000,0.000,0.000,0.001
1.495,0.000,0.000,0.000,0.001
1.500,0.000,0.000,0.000,0.001
1.505,0.000,0.000,0.000,0.000
1.511,0.000,0.000,0.000,0.000
1.516,0.000,0.000,0.000,0.000
1.521,0.000,0.000,0.000,0.228
1.527,0.000,0.000,0.000,0.228
1.532,0.000,0.000,0.000,0.228
1.536,0.000,0.000,0.000,0.228
1.541,0.000,0.000,0.000,0.173
1.547,0.000,0.000,0.000,0.173
1.552,0.000,0.000,0.000,0.173
1.557,0.000,0.000,0.000,0.173
1.562,0.000,0.000,0.000,0.001
1.568,0.000,0.000,0.000,0.001
1.573,0.000,0.000,0.000,0.001
1.579,0.000,0.000,0.000,0.001
1.584,0.000,0.000,0.000,0.000
1.590,0.000,0.000,0.000,0.000
1.595,0.000,0.000,0.000,0.000
1.601,0.000,0.000,0.000,0.226
1.607,0.000,0.000,0.000,0.226
1.612,0.000,0.000,0.000,0.226
1.617,0.000,0.000,0.000,0.226
1.621,0.000,0.000,0.000,0.103
1.626,0.000,0.000,0.000,0.103
1.630,0.000,0.000,0.000,0.103
1.635,0.000,0.000,0.000,0.103
1.639,0.000,0.000,0.000,0.103
1.643,0.000,0.000,0.000,0.278
1.649,0.000,0.000,0.000,0.278
1.653,0.000,0.000,0.000,0.278
1.657,0.000,0.000,0.000,0.278
1.662,0.000,0.000,0.000,0.027
1.667,0.000,0.000,0.000,0.027
1.671,0.000,0.000,0.000,0.027
1.675,0.000,0.000,0.000,0.027
1.680,0.000,0.000,0.000,0.027
1.698,0.000,0.000,0.000,0.236
1.704,0.000,0.000,0.000,0.172
1.710,0.000,0.000,0.000,0.172
1.714,0.000,0.000,0.000,0.172
1.718,0.000,0.000,0.000,0.172
1.722,0.000,0.000,0.000,0.002
1.728,0.000,0.000,0.000,0.002
1.732,0.000,0.000,0.000,0.002
1.736,0.000,0.000,0.000,0.002
1.740,0.000,0.000,0.000,0.193
1.746,0.000,0.000,0.000,0.193
1.750,0.000,0.000,0.000,0.193
1.754,0.000,0.000,0.000,0.193
1.758,0.000,0.000,0.000,0.193
1.763,0.000,0.000,0.000,0.174
1.768,0.000,0.000,0.000,0.174
1.772,0.000,0.000,0.000,0.174
1.776,0.000,0.000,0.000,0.174
1.781,0.000,0.000,0.000,0.013
1.787,0.000,0.000,0.000,0.013
1.790,0.000,0.000,0.000,0.013
