Time,Throttle,Brake,Steering,Speed
0.000,0.000,0.000,0.000,0.000
0.020,0.000,0.000,0.000,0.582
0.166,0.000,0.000,0.000,1.668
0.499,0.000,0.000,0.000,0.270
0.535,0.000,0.000,0.000,0.256
0.554,0.000,0.000,0.000,0.237
0.568,0.000,0.000,0.000,0.226
0.581,0.000,0.000,0.000,0.201
0.594,0.000,0.000,0.000,0.187
0.609,0.000,0.000,0.000,0.173
0.623,0.000,0.000,0.000,0.145
0.636,0.000,0.000,0.000,0.130
0.650,0.000,0.000,0.000,0.103
0.673,0.000,0.000,0.000,0.076
0.687,0.000,0.000,0.000,0.064
0.738,0.000,0.000,0.000,0.012
0.755,0.000,0.000,0.000,0.004
0.770,0.000,0.000,0.000,0.011
0.782,0.000,0.000,0.000,0.022
0.796,0.000,0.000,0.000,0.027
0.810,0.000,0.000,0.000,0.034
0.826,0.000,0.000,0.000,0.036
0.839,0.000,0.000,0.000,0.038
0.852,0.000,0.000,0.000,0.041
0.865,0.000,0.000,0.000,0.041
0.879,0.000,0.000,0.000,0.041
0.892,0.000,0.000,0.000,0.040
0.907,0.000,0.000,0.000,0.039
0.920,0.000,0.000,0.000,0.038
0.933,0.000,0.000,0.000,0.035
0.946,0.000,0.000,0.000,0.033
0.959,0.000,0.000,0.000,0.031
0.972,0.000,0.000,0.000,0.027
0.985,0.000,0.000,0.000,0.025
0.997,0.000,0.000,0.000,0.023
1.010,0.000,0.000,0.000,0.020
1.023,0.000,0.000,0.000,0.016
1.036,0.000,0.000,0.000,0.014
1.049,0.000,0.000,0.000,0.012
1.062,0.000,0.000,0.000,0.008
1.075,0.000,0.000,0.000,0.007
1.089,0.000,0.000,0.000,0.005
1.103,0.000,0.000,0.000,0.002
1.116,0.000,0.000,0.000,0.001
1.129,0.000,0.000,0.000,0.000
1.141,0.000,0.000,0.000,0.002
1.155,0.000,0.000,0.000,0.003
1.168,0.000,0.000,0.000,0.004
1.180,0.000,0.000,0.000,0.005
1.193,0.000,0.000,0.000,0.005
1.205,0.000,0.000,0.000,0.006
1.218,0.000,0.000,0.000,0.006
1.231,0.000,0.000,0.000,0.006
1.244,0.000,0.000,0.000,0.006
1.259,0.000,0.000,0.000,0.006
1.272,0.000,0.000,0.000,0.006
1.285,0.000,0.000,0.000,0.006
1.297,0.000,0.000,0.000,0.006
1.309,0.000,0.000,0.000,0.005
1.322,0.000,0.000,0.000,0.005
1.335,0.000,0.000,0.000,0.004
1.348,0.000,0.000,0.000,0.004
1.361,0.000,0.000,0.000,0.004
1.373,0.000,0.000,0.000,0.003
1.386,0.000,0.000,0.000,0.003
1.399,0.000,0.000,0.000,0.003
1.412,0.000,0.000,0.000,0.002
1.425,0.000,0.000,0.000,0.002
1.437,0.000,0.000,0.000,0.001
1.450,0.000,0.000,0.000,0.001
1.463,0.000,0.000,0.000,0.001
1.477,0.000,0.000,0.000,0.000
1.490,0.000,0.000,0.000,0.000
1.502,0.000,0.000,0.000,0.000
1.515,0.000,0.000,0.000,0.000
1.527,0.000,0.000,0.000,0.000
1.539,0.000,0.000,0.000,0.001
1.552,0.000,0.000,0.000,0.001
1.565,0.000,0.000,0.000,0.001
1.578,0.000,0.000,0.000,0.001
1.590,0.000,0.000,0.000,0.001
1.604,0.000,0.000,0.000,0.001
1.617,0.000,0.000,0.000,0.001
1.629,0.000,0.000,0.000,0.001
1.641,0.000,0.000,0.000,0.001
1.655,0.000,0.000,0.000,0.001
1.696,0.000,0.000,0.000,0.001
1.710,0.000,0.000,0.000,0.001
1.723,0.000,0.000,0.000,0.001
1.736,0.000,0.000,0.000,0.001
1.749,0.000,0.000,0.000,0.000
1.761,0.000,0.000,0.000,0.000
1.774,0.000,0.000,0.000,0.000
1.786,0.000,0.000,0.000,0.000
1.798,0.000,0.000,0.000,0.000
1.810,0.000,0.000,0.000,0.000
1.822,0.000,0.000,0.000,0.000
1.836,0.000,0.000,0.000,0.000
1.847,0.000,0.000,0.000,0.000
1.860,0.000,0.000,0.000,0.000
1.897,0.000,0.000,0.000,0.000
1.910,0.000,0.000,0.000,0.000
1.923,0.000,0.000,0.000,0.000
1.935,0.000,0.000,0.000,0.000
1.946,0.000,0.000,0.000,0.000
1.958,0.000,0.000,0.000,0.000
1.976,0.000,0.000,0.000,0.000
1.989,0.000,0.000,0.000,0.000
2.001,0.000,0.000,0.000,0.000
2.014,0.000,0.000,0.000,0.000
2.027,0.000,0.000,0.000,0.000
2.038,0.000,0.000,0.000,0.000
2.050,0.000,0.000,0.000,0.000
2.063,0.000,0.000,0.000,0.000
2.094,0.000,0.000,0.000,0.000
2.109,0.000,0.000,0.000,0.000
2.121,0.000,0.000,0.000,0.000
2.133,0.000,0.000,0.000,0.000
2.145,0.000,0.000,0.000,0.000
2.158,0.000,0.000,0.000,0.000
2.170,0.000,0.000,0.000,0.000
2.182,0.000,0.000,0.000,0.000
2.195,0.000,0.000,0.000,0.000
2.207,0.000,0.000,0.000,0.000
2.219,0.000,0.000,0.000,0.000
2.231,0.000,0.000,0.000,0.000
2.242,0.000,0.000,0.000,0.000
2.256,0.000,0.000,0.000,0.000
2.294,0.000,0.000,0.000,0.000
2.308,0.000,0.000,0.000,0.000
2.320,0.000,0.000,0.000,0.000
2.332,0.000,0.000,0.000,0.000
2.343,0.000,0.000,0.000,0.000
2.355,0.000,0.000,0.000,0.000
2.367,0.000,0.000,0.000,0.000
2.380,0.000,0.000,0.000,0.000
2.391,0.000,0.000,0.000,0.000
2.403,0.000,0.000,0.000,0.000
2.415,0.000,0.000,0.000,0.000
2.428,0.000,0.000,0.000,0.000
2.439,0.000,0.000,0.000,0.000
2.451,0.000,0.000,0.000,0.000
2.464,0.000,0.000,0.000,0.000
2.497,0.000,0.000,0.000,0.000
2.510,0.000,0.000,0.000,0.000
2.523,0.000,0.000,0.000,0.000
2.535,0.000,0.000,0.000,0.000
2.547,0.000,0.000,0.000,0.000
2.560,0.000,0.000,0.000,0.000
2.572,0.000,0.000,0.000,0.000
2.585,0.000,0.000,0.000,0.000
2.597,0.000,0.000,0.000,0.000
2.609,0.000,0.000,0.000,0.000
2.621,0.000,0.000,0.000,0.000
2.634,0.000,0.000,0.000,0.000
2.645,0.000,0.000,0.000,0.000
2.658,0.000,0.000,0.000,0.000
2.670,0.000,0.000,0.000,0.000
2.699,0.000,0.000,0.000,0.000
2.712,0.000,0.000,0.000,0.000
2.726,0.000,0.000,0.000,0.000
2.738,0.000,0.000,0.000,0.000
2.750,0.000,0.000,0.000,0.000
2.763,0.000,0.000,0.000,0.000
2.777,0.000,0.000,0.000,0.000
2.802,0.000,0.000,0.000,0.000
2.821,0.000,0.000,0.000,0.000
2.843,0.000,0.000,0.000,0.000
2.865,0.000,0.000,0.000,0.000
2.900,0.000,0.000,0.000,0.000
2.916,0.000,0.000,0.000,0.000
2.931,0.000,0.000,0.000,0.000
2.944,0.000,0.000,0.000,0.000
2.958,0.000,0.000,0.000,0.000
2.972,0.000,0.000,0.000,0.000
2.987,0.000,0.000,0.000,0.000
3.000,0.000,0.000,0.000,0.000
3.012,0.000,0.000,0.000,0.000
3.026,0.000,0.000,0.000,0.000
3.038,0.000,0.000,0.000,0.000
3.052,0.000,0.000,0.000,0.000
3.065,0.000,0.000,0.000,0.000
3.084,0.000,0.000,0.000,0.000
3.098,0.000,0.000,0.000,0.000
3.110,0.000,0.000,0.000,0.000
3.125,0.000,0.000,0.000,0.000
3.138,0.000,0.000,0.000,0.000
3.151,0.000,0.000,0.000,0.000
