Time,Throttle,Brake,Steering,Speed
0.000,0.000,0.000,0.000,0.000
0.020,0.000,0.000,0.000,0.706
0.074,0.000,0.000,0.000,0.122
0.088,0.000,0.000,0.000,0.000
0.097,0.000,0.000,0.000,0.000
0.105,0.000,0.000,0.000,0.001
0.165,0.000,0.000,0.000,0.000
0.182,0.000,0.000,0.000,0.224
0.192,0.000,0.000,0.000,0.224
0.200,0.000,0.000,0.000,0.224
0.209,0.000,0.000,0.000,0.100
0.219,0.000,0.000,0.000,0.100
0.237,0.000,0.000,0.000,0.276
0.249,0.000,0.000,0.000,0.086
0.271,0.000,0.000,0.000,0.251
0.281,0.000,0.000,0.000,0.170
0.290,0.000,0.000,0.000,0.170
0.298,0.000,0.000,0.000,0.170
0.307,0.000,0.000,0.000,0.002
0.316,0.000,0.000,0.000,0.002
0.325,0.000,0.000,0.000,0.001
0.335,0.000,0.000,0.000,0.001
0.343,0.000,0.000,0.000,0.001
0.354,0.000,0.000,0.000,0.001
0.362,0.000,0.000,0.000,0.001
0.394,0.000,0.000,0.000,0.218
0.403,0.000,0.000,0.000,0.175
0.412,0.000,0.000,0.000,0.175
0.421,0.000,0.000,0.000,0.001
0.431,0.000,0.000,0.000,0.001
0.439,0.000,0.000,0.000,0.001
0.448,0.000,0.000,0.000,0.219
0.458,0.000,0.000,0.000,0.219
0.466,0.000,0.000,0.000,0.218
0.478,0.000,0.000,0.000,0.218
0.486,0.000,0.000,0.000,0.000
0.496,0.000,0.000,0.000,0.000
0.504,0.000,0.000,0.000,0.206
0.514,0.000,0.000,0.000,0.206
0.522,0.000,0.000,0.000,0.093
0.532,0.000,0.000,0.000,0.093
0.541,0.000,0.000,0.000,0.269
0.554,0.000,0.000,0.000,0.269
0.563,0.000,0.000,0.000,0.084
0.573,0.000,0.000,0.000,0.084
0.582,0.000,0.000,0.000,0.249
0.592,0.000,0.000,0.000,0.249
0.601,0.000,0.000,0.000,0.114
0.610,0.000,0.000,0.000,0.114
0.619,0.000,0.000,0.000,0.114
0.627,0.000,0.000,0.000,0.269
0.637,0.000,0.000,0.000,0.269
0.645,0.000,0.000,0.000,0.032
0.655,0.000,0.000,0.000,0.032
0.663,0.000,0.000,0.000,0.000
0.674,0.000,0.000,0.000,0.000
0.682,0.000,0.000,0.000,0.000
0.692,0.000,0.000,0.000,0.000
0.700,0.000,0.000,0.000,0.229
0.710,0.000,0.000,0.000,0.229
0.719,0.000,0.000,0.000,0.229
0.727,0.000,0.000,0.000,0.104
0.736,0.000,0.000,0.000,0.104
0.745,0.000,0.000,0.000,0.280
0.754,0.000,0.000,0.000,0.280
0.762,0.000,0.000,0.000,0.027
0.772,0.000,0.000,0.000,0.027
0.780,0.000,0.000,0.000,0.317
0.790,0.000,0.000,0.000,0.317
0.800,0.000,0.000,0.000,0.317
0.807,0.000,0.000,0.000,0.039
0.817,0.000,0.000,0.000,0.039
0.825,0.000,0.000,0.000,0.333
0.834,0.000,0.000,0.000,0.333
0.843,0.000,0.000,0.000,0.034
0.852,0.000,0.000,0.000,0.034
0.860,0.000,0.000,0.000,0.034
0.867,0.000,0.000,0.000,0.217
0.875,0.000,0.000,0.000,0.217
0.883,0.000,0.000,0.000,0.099
0.892,0.000,0.000,0.000,0.099
0.900,0.000,0.000,0.000,0.275
0.908,0.000,0.000,0.000,0.275
0.916,0.000,0.000,0.000,0.275
0.924,0.000,0.000,0.000,0.086
0.933,0.000,0.000,0.000,0.086
0.941,0.000,0.000,0.000,0.251
0.950,0.000,0.000,0.000,0.251
0.958,0.000,0.000,0.000,0.251
0.966,0.000,0.000,0.000,0.115
0.975,0.000,0.000,0.000,0.115
0.982,0.000,0.000,0.000,0.269
0.991,0.000,0.000,0.000,0.269
0.998,0.000,0.000,0.000,0.269
1.006,0.000,0.000,0.000,0.032
1.015,0.000,0.000,0.000,0.032
1.024,0.000,0.000,0.000,0.195
1.033,0.000,0.000,0.000,0.195
1.041,0.000,0.000,0.000,0.057
1.051,0.000,0.000,0.000,0.057
1.058,0.000,0.000,0.000,0.057
1.066,0.000,0.000,0.000,0.001
1.074,0.000,0.000,0.000,0.001
1.082,0.000,0.000,0.000,0.001
1.091,0.000,0.000,0.000,0.001
1.123,0.000,0.000,0.000,0.227
1.134,0.000,0.000,0.000,0.227
1.141,0.000,0.000,0.000,0.103
1.151,0.000,0.000,0.000,0.103
1.159,0.000,0.000,0.000,0.103
1.168,0.000,0.000,0.000,0.278
1.177,0.000,0.000,0.000,0.278
1.184,0.000,0.000,0.000,0.027
1.194,0.000,0.000,0.000,0.027
1.201,0.000,0.000,0.000,0.236
1.210,0.000,0.000,0.000,0.236
1.218,0.000,0.000,0.000,0.236
1.226,0.000,0.000,0.000,0.018
1.243,0.000,0.000,0.000,0.352
1.489,0.000,0.000,0.000,0.001
1.507,0.000,0.000,0.000,0.000
1.518,0.000,0.000,0.000,0.000
1.526,0.000,0.000,0.000,0.228
1.534,0.000,0.000,0.000,0.228
1.541,0.000,0.000,0.000,0.173
1.549,0.000,0.000,0.000,0.173
1.557,0.000,0.000,0.000,0.173
1.564,0.000,0.000,0.000,0.001
1.573,0.000,0.000,0.000,0.001
1.579,0.000,0.000,0.000,0.001
1.586,0.000,0.000,0.000,0.000
1.594,0.000,0.000,0.000,0.000
1.601,0.000,0.000,0.000,0.226
1.609,0.000,0.000,0.000,0.226
1.616,0.000,0.000,0.000,0.226
1.623,0.000,0.000,0.000,0.103
1.632,0.000,0.000,0.000,0.103
1.639,0.000,0.000,0.000,0.103
1.647,0.000,0.000,0.000,0.278
1.655,0.000,0.000,0.000,0.278
1.663,0.000,0.000,0.000,0.027
1.671,0.000,0.000,0.000,0.027
1.682,0.000,0.000,0.000,0.236
1.695,0.000,0.000,0.000,0.236
1.703,0.000,0.000,0.000,0.172
1.713,0.000,0.000,0.000,0.172
1.724,0.000,0.000,0.000,0.002
1.732,0.000,0.000,0.000,0.002
1.742,0.000,0.000,0.000,0.193
1.752,0.000,0.000,0.000,0.193
1.761,0.000,0.000,0.000,0.174
1.774,0.000,0.000,0.000,0.174
1.784,0.000,0.000,0.000,0.013
1.792,0.000,0.000,0.000,0.013
1.799,0.000,0.000,0.000,0.013
1.806,0.000,0.000,0.000,0.001
1.815,0.000,0.000,0.000,0.001
1.822,0.000,0.000,0.000,0.204
1.831,0.000,0.000,0.000,0.204
1.839,0.000,0.000,0.000,0.204
1.846,0.000,0.000,0.000,0.052
1.855,0.000,0.000,0.000,0.052
1.863,0.000,0.000,0.000,0.000
1.872,0.000,0.000,0.000,0.000
1.879,0.000,0.000,0.000,0.000
1.887,0.000,0.000,0.000,0.001
1.896,0.000,0.000,0.000,0.001
1.906,0.000,0.000,0.000,0.001
1.914,0.000,0.000,0.000,0.001
1.922,0.000,0.000,0.000,0.211
1.937,0.000,0.000,0.000,0.211
1.942,0.000,0.000,0.000,0.176
1.946,0.000,0.000,0.000,0.176
1.951,0.000,0.000,0.000,0.176
1.955,0.000,0.000,0.000,0.176
1.960,0.000,0.000,0.000,0.176
1.963,0.000,0.000,0.000,0.003
1.968,0.000,0.000,0.000,0.003
1.973,0.000,0.000,0.000,0.003
1.977,0.000,0.000,0.000,0.003
1.981,0.000,0.000,0.000,0.000
1.986,0.000,0.000,0.000,0.000
1.990,0.000,0.000,0.000,0.000
1.994,0.000,0.000,0.000,0.000
1.999,0.000,0.000,0.000,0.000
2.003,0.000,0.000,0.000,0.001
2.008,0.000,0.000,0.000,0.001
2.012,0.000,0.000,0.000,0.001
2.016,0.000,0.000,0.000,0.001
2.021,0.000,0.000,0.000,0.325
2.026,0.000,0.000,0.000,0.325
2.030,0.000,0.000,0.000,0.325
2.036,0.000,0.000,0.000,0.325
2.040,0.000,0.000,0.000,0.325
2.044,0.000,0.000,0.000,0.094
2.049,0.000,0.000,0.000,0.094
2.054,0.000,0.000,0.000,0.094
2.057,0.000,0.000,0.000,0.094
2.062,0.000,0.000,0.000,0.000
2.067,0.000,0.000,0.000,0.000
2.071,0.000,0.000,0.000,0.000
2.075,0.000,0.000,0.000,0.000
2.079,0.000,0.000,0.000,0.000
2.084,0.000,0.000,0.000,0.001
2.089,0.000,0.000,0.000,0.001
2.093,0.000,0.000,0.000,0.001
2.097,0.000,0.000,0.000,0.001
2.102,0.000,0.000,0.000,0.228
2.107,0.000,0.000,0.000,0.228
2.111,0.000,0.000,0.000,0.228
2.115,0.000,0.000,0.000,0.228
2.119,0.000,0.000,0.000,0.228
2.124,0.000,0.000,0.000,0.079
2.130,0.000,0.000,0.000,0.079
2.133,0.000,0.000,0.000,0.079
2.138,0.000,0.000,0.000,0.079
2.142,0.000,0.000,0.000,0.000
2.147,0.000,0.000,0.000,0.000
2.151,0.000,0.000,0.000,0.000
2.156,0.000,0.000,0.000,0.000
2.160,0.000,0.000,0.000,0.001
2.165,0.000,0.000,0.000,0.001
2.170,0.000,0.000,0.000,0.001
2.174,0.000,0.000,0.000,0.001
2.178,0.000,0.000,0.000,0.001
2.182,0.000,0.000,0.000,0.234
2.187,0.000,0.000,0.000,0.234
2.191,0.000,0.000,0.000,0.234
2.196,0.000,0.000,0.000,0.234
2.199,0.000,0.000,0.000,0.234
2.204,0.000,0.000,0.000,0.215
