Time,Throttle,Brake,Steering,Speed
0.000,0.000,0.000,0.000,0.000
0.020,0.000,0.000,0.000,0.150
0.090,0.000,0.000,0.013,0.331
0.100,0.000,0.000,0.013,0.331
0.113,0.000,0.000,0.013,0.328
0.127,0.000,0.000,0.013,0.320
0.141,0.000,0.000,0.013,0.297
0.155,0.000,0.000,0.013,0.282
0.168,0.000,0.000,0.013,0.265
0.182,0.000,0.000,0.013,0.229
0.196,0.000,0.000,0.013,0.210
0.210,0.000,0.000,0.013,0.191
0.224,0.000,0.000,0.013,0.153
0.238,0.000,0.000,0.013,0.135
0.252,0.000,0.000,0.013,0.101
0.265,0.000,0.000,0.013,0.085
0.279,0.000,0.000,0.013,0.071
0.294,0.000,0.000,0.013,0.044
0.307,0.000,0.000,0.013,0.033
0.320,0.000,0.000,0.013,0.013
0.335,0.000,0.000,0.013,0.005
0.348,0.000,0.000,0.013,0.002
0.362,0.000,0.000,0.013,0.013
0.374,0.000,0.000,0.013,0.018
0.390,0.000,0.000,0.013,0.024
0.404,0.000,0.000,0.013,0.026
0.418,0.000,0.000,0.013,0.028
0.430,0.000,0.000,0.013,0.029
0.446,0.000,0.000,0.013,0.029
0.460,0.000,0.000,0.013,0.029
0.473,0.000,0.000,0.009,0.027
0.487,0.000,0.000,0.009,0.026
0.501,0.000,0.000,0.009,0.024
0.515,0.000,0.000,0.009,0.022
0.529,0.000,0.000,0.009,0.020
0.543,0.000,0.000,0.009,0.017
0.557,0.000,0.000,0.009,0.015
0.570,0.000,0.000,0.009,0.012
0.585,0.000,0.000,0.009,0.010
0.597,0.000,0.000,0.009,0.009
0.612,0.000,0.000,0.009,0.006
0.627,0.000,0.000,0.009,0.005
0.640,0.000,0.000,0.009,0.003
0.654,0.000,0.000,0.009,0.002
0.668,0.000,0.000,0.009,0.001
0.682,0.000,0.000,0.009,0.000
0.694,0.000,0.000,0.009,0.001
0.710,0.000,0.000,0.009,0.001
0.724,0.000,0.000,0.009,0.002
0.737,0.000,0.000,0.009,0.002
0.749,0.000,0.000,0.009,0.002
0.765,0.000,0.000,0.009,0.003
0.780,0.000,0.000,0.009,0.003
0.793,0.000,0.000,0.009,0.003
0.808,0.000,0.000,0.009,0.003
0.823,0.000,0.000,0.009,0.002
1.058,0.000,0.000,0.009,0.000
1.078,0.000,0.000,0.009,0.000
1.132,0.000,0.000,0.009,0.000
1.173,0.000,0.000,0.009,0.000
1.200,0.000,0.000,0.009,0.000
1.214,0.000,0.000,0.009,0.000
1.228,0.000,0.000,0.009,0.000
1.243,0.000,0.000,0.009,0.000
1.254,0.000,0.000,0.009,0.000
1.270,0.000,0.000,0.009,0.000
1.284,0.000,0.000,0.009,0.000
1.298,0.000,0.000,0.009,0.000
1.313,0.000,0.000,0.009,0.000
1.325,0.000,0.000,0.009,0.000
1.340,0.000,0.000,0.009,0.000
1.353,0.000,0.000,0.009,0.000
1.367,0.000,0.000,0.009,0.000
1.381,0.000,0.000,0.009,0.000
1.395,0.000,0.000,0.009,0.000
1.408,0.000,0.000,0.009,0.000
1.422,0.000,0.000,0.009,0.000
1.436,0.000,0.000,0.009,0.000
1.450,0.000,0.000,0.009,0.000
1.464,0.000,0.000,0.009,0.000
1.478,0.000,0.000,0.009,0.000
1.491,0.000,0.000,0.009,0.000
1.505,0.000,0.000,0.009,0.000
1.519,0.000,0.000,0.009,0.000
1.533,0.000,0.000,0.009,0.000
1.547,0.000,0.000,0.009,0.000
1.560,0.000,0.000,0.009,0.000
1.575,0.000,0.000,0.009,0.000
1.590,0.000,0.000,0.009,0.000
1.603,0.000,0.000,0.009,0.000
1.616,0.000,0.000,0.009,0.000
1.630,0.000,0.000,0.009,0.000
1.644,0.000,0.000,0.009,0.000
1.658,0.000,0.000,0.009,0.000
1.672,0.000,0.000,0.009,0.000
1.687,0.000,0.000,0.009,0.000
1.700,0.000,0.000,0.009,0.000
1.714,0.000,0.000,0.009,0.000
1.727,0.000,0.000,0.009,0.000
1.742,0.000,0.000,0.009,0.000
1.756,0.000,0.000,0.009,0.000
1.769,0.000,0.000,0.009,0.000
1.783,0.000,0.000,0.009,0.000
1.797,0.000,0.000,0.009,0.000
1.811,0.000,0.000,0.009,0.000
1.825,0.000,0.000,0.009,0.000
1.839,0.000,0.000,0.009,0.000
1.853,0.000,0.000,0.009,0.000
1.867,0.000,0.000,0.009,0.000
1.881,0.000,0.000,0.009,0.000
1.895,0.000,0.000,0.009,0.000
1.908,0.000,0.000,0.009,0.000
1.923,0.000,0.000,0.009,0.000
1.936,0.000,0.000,0.009,0.000
1.950,0.000,0.000,0.009,0.000
1.964,0.000,0.000,0.009,0.000
1.978,0.000,0.000,0.009,0.000
1.992,0.008,0.000,0.009,0.041
2.006,0.008,0.000,0.009,0.001
2.020,0.024,0.000,0.009,0.031
2.034,0.027,0.000,0.009,0.003
2.048,0.031,0.000,0.009,0.040
2.061,0.031,0.000,0.009,0.060
2.076,0.031,0.000,0.009,0.026
2.089,0.031,0.000,0.009,0.061
2.103,0.031,0.000,0.009,0.102
2.117,0.031,0.000,0.009,0.033
2.131,0.031,0.000,0.009,0.181
2.145,0.031,0.000,0.009,0.023
