Time,Throttle,Brake,Steering,Speed
0.000,0.000,0.000,0.000,0.000
0.020,0.000,0.000,0.000,0.216
0.084,0.000,0.000,0.000,0.468
0.104,0.000,0.000,0.000,0.477
0.110,0.000,0.000,0.000,0.477
0.126,0.000,0.000,0.000,0.461
0.139,0.000,0.000,0.000,0.446
0.150,0.000,0.000,0.000,0.427
0.164,0.000,0.000,0.000,0.382
0.180,0.000,0.000,0.000,0.356
0.195,0.000,0.000,0.000,0.302
0.209,0.000,0.000,0.000,0.275
0.219,0.000,0.000,0.000,0.247
0.233,0.000,0.000,0.000,0.194
0.249,0.000,0.000,0.000,0.169
0.264,0.000,0.000,0.000,0.123
0.279,0.000,0.000,0.000,0.102
0.291,0.000,0.000,0.000,0.064
0.307,0.000,0.000,0.000,0.047
0.318,0.000,0.000,0.000,0.033
0.331,0.000,0.000,0.000,0.007
0.344,0.000,0.000,0.000,0.003
0.361,0.000,0.000,0.000,0.019
0.376,0.000,0.000,0.000,0.026
0.388,0.000,0.000,0.000,0.031
0.401,0.000,0.000,0.000,0.038
0.413,0.000,0.000,0.000,0.040
0.428,0.000,0.000,0.000,0.042
0.444,0.000,0.000,0.000,0.042
0.458,0.000,0.000,0.000,0.042
0.471,0.000,0.000,0.000,0.040
0.482,0.000,0.000,0.000,0.038
0.496,0.000,0.000,0.000,0.036
0.510,0.000,0.000,0.000,0.034
0.525,0.000,0.000,0.000,0.029
0.540,0.000,0.000,0.000,0.027
0.555,0.000,0.000,0.000,0.022
0.568,0.000,0.000,0.000,0.020
0.582,0.000,0.000,0.000,0.015
0.591,0.000,0.000,0.000,0.013
0.604,0.000,0.000,0.000,0.011
0.611,0.000,0.000,0.000,0.009
0.623,0.000,0.000,0.000,0.007
0.638,0.000,0.000,0.000,0.006
0.651,0.000,0.000,0.000,0.003
0.662,0.000,0.000,0.000,0.002
0.676,0.000,0.000,0.000,0.001
0.690,0.000,0.000,0.000,0.001
0.705,0.000,0.000,0.000,0.002
0.722,0.000,0.000,0.000,0.003
0.733,0.000,0.000,0.000,0.003
0.744,0.000,0.000,0.000,0.003
0.759,0.000,0.000,0.000,0.004
0.775,0.000,0.000,0.000,0.004
0.791,0.000,0.000,0.000,0.004
0.805,0.000,0.000,0.000,0.004
0.821,0.000,0.000,0.000,0.003
1.091,0.000,0.000,0.000,0.000
1.111,0.000,0.000,0.000,0.000
1.167,0.000,0.000,0.000,0.000
1.208,0.000,0.000,0.000,0.000
1.239,0.000,0.000,0.000,0.000
1.253,0.000,0.000,0.000,0.000
1.266,0.000,0.000,0.000,0.000
1.280,0.000,0.000,0.000,0.000
1.294,0.000,0.000,0.000,0.000
1.309,0.000,0.000,0.000,0.000
1.325,0.000,0.000,0.000,0.000
1.339,0.000,0.000,0.000,0.000
1.350,0.000,0.000,0.000,0.000
1.363,0.000,0.000,0.000,0.000
1.377,0.000,0.000,0.000,0.000
1.392,0.000,0.000,0.000,0.000
1.406,0.000,0.000,0.000,0.000
1.420,0.000,0.000,0.000,0.000
1.432,0.000,0.000,0.000,0.000
1.447,0.000,0.000,0.000,0.000
1.461,0.000,0.000,0.000,0.000
1.477,0.000,0.000,0.000,0.000
1.488,0.000,0.000,0.000,0.000
1.502,0.000,0.000,0.000,0.000
1.515,0.000,0.000,0.000,0.000
1.530,0.000,0.000,0.000,0.000
1.544,0.000,0.000,0.000,0.000
1.557,0.000,0.000,0.000,0.000
1.574,0.000,0.000,0.000,0.000
1.585,0.000,0.000,0.000,0.000
1.600,0.000,0.000,0.000,0.000
1.613,0.000,0.000,0.000,0.000
1.627,0.000,0.000,0.000,0.000
1.643,0.000,0.000,0.000,0.000
1.658,0.000,0.000,0.000,0.000
1.671,0.000,0.000,0.000,0.000
1.683,0.000,0.000,0.000,0.000
1.696,0.000,0.000,0.000,0.000
1.711,0.000,0.000,0.000,0.000
1.726,0.000,0.000,0.000,0.000
1.738,0.000,0.000,0.000,0.000
1.755,0.000,0.000,0.000,0.000
